id,title,description
49,"Insertion of Hybrid Ext Fix into R Radius, Perc Approach",Meningitis due to Lyme disease
50,"Occlusion of Low Art with Extralum Dev, Perc Endo Approach","Acute serous otitis media, left ear"
51,"Excision of Right Toe Phalangeal Joint, Open Approach","Body mass index (BMI) 23.0-23.9, adult"
52,"Dilation of R Post Tib Art with Intralum Dev, Open Approach","Stress fracture, right toe(s), subsequent encounter for fracture with nonunion"
53,"Occlusion R Brach Vein w Extralum Dev, Perc Endo","Displaced transcondylar fracture of right humerus, subsequent encounter for fracture with nonunion"
54,"Repair Right Breast, Open Approach","Minor laceration of unspecified internal jugular vein, initial encounter"
55,"Drainage of Azygos Vein, Percutaneous Approach, Diagnostic","Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), sequela"
56,"Supplement Left Nipple with Synth Sub, Extern Approach",Toxic effect of halogenated insecticides
57,"Bypass L Com Iliac Art to R Femor A, Perc Endo Approach",Toxic effect of other seafood
58,"Inspection of Right Hip Joint, Perc Endo Approach",Other specified types of T/NK-cell lymphoma
59,"Dilate L Brach Art, Bifurc, w 2 Intralum Dev, Open","Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
60,"Supplement Uvula with Autol Sub, Open Approach","Strain of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm, sequela"
61,"Supplement R Brach Vein with Autol Sub, Perc Endo Approach",Rheumatoid arthritis of ankle and foot with involvement of other organs and systems
62,"Replacement of Cerv Jt with Autol Sub, Open Approach","Hit or struck by falling object due to accident to canoe or kayak, initial encounter"
63,"Bypass L Com Iliac Art to R Renal A w Synth Sub, Open",Encounter for attention to artificial openings
64,"Dilate R Colic Art, Bifurc, w 4+ Intralum Dev, Perc Endo",Other digestive system involvement in Chagas' disease
65,"Drainage of Inferior Mesenteric Artery, Perc Approach, Diagn","Nondisplaced fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with routine healing"
66,"Drainage of Abd Subcu/Fascia with Drain Dev, Open Approach","Intermittent hydrarthrosis, unspecified wrist"
67,"Supplement R Metatarsophal Jt with Synth Sub, Open Approach","Ocular pain, left eye"
68,"Removal of Nonaut Sub from R Low Extrem, Open Approach","Maternal care for excessive fetal growth, unspecified trimester, fetus 1"
69,"Replace Buttock Skin w Synth Sub, Part Thick, Extern","Other fracture of right lower leg, sequela"
70,"Drainage of Head Lymphatic, Percutaneous Endoscopic Approach","Complex tear of medial meniscus, current injury"
71,"Inspection of Cisterna Chyli, Percutaneous Approach","Unspecified injury of lesser saphenous vein at lower leg level, right leg, initial encounter"
72,"Drainage of Right Wrist Region with Drain Dev, Open Approach","Anterior subluxation of proximal end of tibia, left knee, subsequent encounter"
73,"Removal of Int Fix from R Elbow Jt, Open Approach","Unspecified subluxation of right foot, sequela"
74,"Destruction of Right Popliteal Artery, Open Approach","Displaced fracture of distal phalanx of unspecified finger, subsequent encounter for fracture with delayed healing"
75,"Drainage of Right Hip Tendon, Perc Endo Approach, Diagn","Burn of third degree of nose (septum), sequela"
76,"Supplement Pulmonary Trunk with Synth Sub, Open Approach","Displaced other extraarticular fracture of left calcaneus, subsequent encounter for fracture with malunion"
77,"Drainage of L Seminal Vesicle with Drain Dev, Perc Approach","Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck"
78,"Introduction of Platelet Inhibitor into Heart, Perc Approach","Other specific joint derangements of left hip, not elsewhere classified"
79,"Ultrasonography of Celiac and Mesenteric Arteries, Intravasc","Madarosis of unspecified eye, unspecified eyelid and periocular area"
80,"Restrict R Com Carotid w Intralum Dev, Perc Endo","Laceration of extensor muscle, fascia and tendon of right index finger at forearm level"
81,"Replacement of R Trunk Tendon with Synth Sub, Open Approach","Other mechanical complication of ventricular intracranial (communicating) shunt, subsequent encounter"
82,Muscle Perform Assess Musculosk Low Back/LE w Oth Equip,"Other juvenile arthritis, wrist"
83,"Removal of Autol Sub from Uterus & Cervix, Open Approach","Contact with hot saucepan or skillet, initial encounter"
84,"Revision of Drain Dev in Up Intest Tract, Perc Endo Approach",Cellulitis of unspecified toe
85,"Excision of Right Ankle Joint, Perc Endo Approach, Diagn",Breakdown (mechanical) of internal fixation device of bones of limb
86,"Dilation of Cervix with Intraluminal Device, Perc Approach","Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
87,"Introduction of Anti-inflam into Periton Cav, Perc Approach","Other specified rheumatoid arthritis, unspecified ankle and foot"
88,"Replacement of R Fem Art with Autol Sub, Open Approach","Unspecified injury of pelvis, sequela"
89,"Alteration of Left Wrist Region, Open Approach",Burn of second degree of unspecified forearm
90,"Removal of Infusion Device from L Hip Jt, Extern Approach","Unspecified fracture of second thoracic vertebra, subsequent encounter for fracture with nonunion"
91,"Extirpate of Matter from L Brach Art, Bifurc, Open Approach","Third degree perineal laceration during delivery, IIIb"
92,"Extirpation of Matter from R Ant Tib Art, Open Approach",Pain disorder with related psychological factors
93,"Drainage of Right Occipital Bone, Open Approach","Pathological fracture in neoplastic disease, right fibula, subsequent encounter for fracture with routine healing"
94,"Revision of Autol Sub in L Humeral Head, Extern Approach","Injury of other nerves at lower leg level, right leg, subsequent encounter"
95,"Revision of Synth Sub in R Knee Jt, Tibial, Perc Approach",Personal history of (corrected) congenital malformations
96,Removal of Traction Apparatus on Left Lower Arm,"Other superficial bite of unspecified parts of thorax, sequela"
97,"Extirpation of Matter from L Brach Vein, Perc Endo Approach","Other specified injury of other blood vessels at ankle and foot level, left leg"
98,"Remove Monitor Dev from Up Intest Tract, Perc Endo","Maternal care for other rhesus isoimmunization, first trimester"
99,Intraoperative Radiation Therapy (IORT) of Gallbladder,Other specified follicular disorders
100,"Ventil, Resp/Circ Assess Circ Head, Neck w Oth Equip",Unspecified brain damage due to birth injury
